"","Std Sample Name","GSM ID","Primary Name","Study","Number of Read Pairs","Bio-rep","Pulldown or HiC","Restriction Enzyme","Cell Name","Cell Type","Organ","Biomaterial","Disease","5kb FC Loops (Unfiltered)","10kb FC Loops (Unfiltered)","25kb FC Loops (Unfiltered)","5kb FC Loops (Filtered)","10kb FC Loops (Filtered)","25kb FC Loops (Filtered)","5kb FH Loops (Unfiltered)","10kb FH Loops (Unfiltered)","25kb FH Loops (Unfiltered)","5kb FH Loops (Filtered)","10kb FH Loops (Filtered)","25kb FH Loops (Filtered)","5kb HiCCUPs Loops","10kb HiCCUPs Loops","25kb HiCCUPs Loops","1kb HiC Loops","5kb HiC Loops","5kb FC Longrange (Unfiltered)","10kb FC Longrange (Unfiltered)","25kb FC Longrange (Unfiltered)","5kb FC Longrange (Filtered)","10kb FC Longrange (Filtered)","25kb FC Longrange (Filtered)","5kb FH Longrange (Unfiltered)","10kb FH Longrange (Unfiltered)","25kb FH Longrange (Unfiltered)","5kb FH Longrange (Filtered)","10kb FH Longrange (Filtered)","25kb FH Longrange (Filtered)","5kb HiCCUPs Longrange","10kb HiCCUPs Longrange","25kb HiCCUPs Longrange","1kb HiC Longrange","5kb HiC Longrange","CP Peak Number","FH Peak Number","CP Peak BigBed","FH Peak BigBed","UUID","5kb FC QC Status (Unfiltered)","10kb FC QC Status (Unfiltered)","25kb FC QC Status (Unfiltered)","5kb FC QC Status (Filtered)","10kb FC QC Status (Filtered)","25kb FC QC Status (Filtered)","5kb FH QC Status (Unfiltered)","10kb FH QC Status (Unfiltered)","25kb FH QC Status (Unfiltered)","5kb FH QC Status (Filtered)","10kb FH QC Status (Filtered)","25kb FH QC Status (Filtered)","5kb HiCCUPs QC Status","10kb HiCCUPs QC Status","25kb HiCCUPs QC Status"
"","Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged","GSM6856447","Wei-22RV1 (merged)","Wei et al., 2023","375,335,640","2","CTCF","MboI","HiChIP_22RV1_CTCF_Rep1,HiChIP_22RV1_CTCF_Rep2","Undetermined","Prostate","Cell Line","Undetermined","214603","275621","299711","114977","134224","116779","116360","171750","210113","68870","91754","90098","16735","17714","18074","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","147535","80282","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","6cd7e60b-1e48-4a83-8481-2062e6ef6535","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","H9.GSE105028.Homo_Sapiens.Rad21.b1","GSM2829017","H9","Lyu et al., 2018","515,530,130","1","Rad21","DpnII","Rad21 Hi-ChIP Rep1,Rad21 Hi-ChIP Rep2,Rad21 Hi-ChIP Rep3,Rad21 Hi-ChIP Rep4","H9 human Embryonic Stem Cell Line","Embryo, Stem-associated","Cell Line","Undetermined","196151","244858","266933","114619","124483","99344","230390","279581","293183","133480","138205","104021","27204","31348","18711","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9.GSE105028.Homo_Sapiens.Rad21.b1.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9.GSE105028.Homo_Sapiens.Rad21.b1.5000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9.GSE105028.Homo_Sapiens.Rad21.b1.10000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9.GSE105028.Homo_Sapiens.Rad21.b1.25000.hiccups.longrange.bed.gz","N/A","N/A","176291","211860","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","81ac54d8-575c-4ae4-94e4-9d4c08a73160","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged","GSM6016407","Wei-22RV1-Myc (merged)","Wei et al., 2023","437,453,186","1","CTCF","MboI","HICHIP-22RV1-M1-CTCF,HICHIP-22RV1-M2-CTCF","Undetermined","Prostate","Cell Line","Undetermined","150379","185989","211524","84376","96983","93298","131802","171015","197701","78522","92370","89305","19895","25485","27383","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Myc.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","139264","128123","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","3b99c8e6-ce5b-4550-abd9-883884233c65","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac","","Natural_Killer_1816-RH-1 (All Donors)","Chandra et al., 2021","1,457,921,642","1","H3K27ac","MboI","","","","","","139924","127131","100013","67370","61452","43371","14614","21000","25673","11223","15791","16961","7875","5392","3199","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Natural_Killer_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","247145","19637","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","feb44eae-b2bf-4859-8f47-8b3e2a207f0c","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good"
"","H9-HS.GSE105028.Homo_Sapiens.Rad21.b1","GSM2829021","H9-HS","Lyu et al., 2018","418,316,089","1","Rad21","DpnII","HS Rad21 Hi-ChIP Rep1,HS Rad21 Hi-ChIP Rep2,HS Rad21 Hi-ChIP Rep3,HS Rad21 Hi-ChIP Rep4","H9 human Embryonic Stem Cell Line","Embryo, Stem-associated","Cell Line","Undetermined","134065","182941","223303","79872","94596","84389","139883","193849","236706","84889","100303","87622","19652","21298","12848","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.5000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.10000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/H9-HS.GSE105028.Homo_Sapiens.Rad21.b1.25000.hiccups.longrange.bed.gz","N/A","N/A","162509","162519","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","0e946704-74ce-42a8-8b30-21afd0d14d02","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged","GSM6016406","Wei-22RV1-Control (merged)","Wei et al., 2023","344,429,396","2","CTCF","MboI","HICHIP-22RV1-C1-CTCF,HICHIP-22RV1-C2-CTCF","Undetermined","Prostate","Cell Line","Undetermined","130218","152695","162163","76786","83989","77053","115765","141070","153670","72038","80220","74482","19731","22084","17995","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1-Control.GSE200165.Homo_Sapiens.CTCF.biorep_merged.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","147535","139547","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","a716e9ba-1a2f-4303-b3be-2eb90d82191e","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1","GSM5281678","MB157-pInd20EBF1-10dox","Zhou et al., 2022","774,486,022","1","SMC1A","MboI","MB157pInd20EBF1_10dox_SMC1_HiChIP","Triple-negative breast cancer cell line","Mammary Gland","Cell Line","Breast Cancer","120549","247293","422546","58394","97090","120296","106894","226804","394930","54229","92958","113825","8695","13207","55216","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20EBF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.hiccups.longrange.bed.gz","N/A","N/A","252488","165205","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","1ea8e9df-1cd3-4e17-8069-c2c835d06817","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac","","CD4_Naive_1815-RH-1 (All Donors)","Chandra et al., 2021","2,125,336,641","1","H3K27ac","MboI","","","","","","119199","115195","98602","62179","59990","44639","23013","29768","32738","17366","22329","21723","10475","7628","4117","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/CD4_Naive_All-Donors.phs001703v3p1.Homo_Sapiens.H3K27ac.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","136763","19484","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","a224fa9c-5ca5-4236-b4eb-3a2533e85372","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good"
"","MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1","GSM5281679","MB157-pInd20TCF1-10dox","Zhou et al., 2022","732,911,273","1","SMC1A","MboI","MB157pInd20TCF1_10dox_SMC1_HiChIP","Triple-negative breast cancer cell line","Mammary Gland","Cell Line","Breast Cancer","106533","201145","336150","52575","80467","101466","97695","193754","322947","50439","80029","98763","9311","14615","25269","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.5000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.10000.hiccups.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hiccups/MB157-pInd20TCF1-10dox.GSE173843.Homo_Sapiens.SMC1A.b1.25000.hiccups.longrange.bed.gz","N/A","N/A","215086","155136","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","dcf8f9f2-cc94-47d5-93c7-90f13a2d0b3f","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
"","Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1","GSM6856446","Wei-22RV1","Wei et al., 2023","178,763,153","1","CTCF","MboI","HiChIP_22RV1_CTCF_Rep1","Undetermined","Prostate","Cell Line","Undetermined","99754","134849","168971","57056","70618","74560","44291","71302","107568","28627","42444","53509","9844","10216","8634","-1","-1","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.5000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.10000.fithichip_cp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/chip-seq/macs2/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.25000.fithichip_cp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.5000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.10000.fithichip_hp.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hichip/hichip/fithichip-utility/stringent/Wei-22RV1.GSE200165.Homo_Sapiens.CTCF.b1.25000.fithichip_hp.longrange.bed.gz","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Currently Unavailable","Currently Unavailable","Currently Unavailable","N/A","N/A","147535","68418","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","038d52f2-53eb-4efa-b750-ccc4671344be","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Good","Good","Good","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","TBD","TBD","TBD"
